Name,WOD 1,WOD 2,WOD 3
ZOE JONES,468.0,29.0,175.0
EMILY CHAPMAN,507.0,30.0,185.0
MARIANA MEZA,550.0,30.0,190.0
AMY HAGLER,520.0,27.0,195.0
FRANCESCA DUNCAN,631.0,26.0,205.0
KATHS BOGANTES,432.0,27.0,157.0
ERICA  KELLY,438.0,26.0,170.0
EMILY CARY,481.0,28.0,182.0
KAITLAN WILDAY,648.0,31.0,190.0
RACHEL KRUMM,518.0,27.0,190.0
CARRIE RICHARDS,475.0,28.0,175.0
SARAH HARVEY,501.0,26.0,190.0
HILARY NIEWALD GERRISH,550.0,30.0,185.0
CHELSEA  GÓMEZ,550.0,27.0,192.0
KASSANDRA HEIDEMANN,586.0,32.0,175.0
VANESSA TAYLOR,518.0,28.0,185.0
JONNA TREXLER,549.0,31.0,175.0
AURORE BOITELLE,517.0,30.0,176.0
SARAH LYKINS,532.0,28.0,185.0
MIKAIL JENKINS,462.0,27.0,165.0
BRITTANY DUCHAUSSEE,621.0,27.0,195.0
AMANDA DUCKETT,492.0,27.0,175.0
HEATHER SMITH,468.0,26.0,169.0
JOHANNA NILSSON,527.0,27.0,182.0
MELISSA CHATIGNY,598.0,27.0,190.0
BECKY RINEHART,569.0,26.0,190.0
SHANA MALDONADO,584.0,29.0,180.0
DANIELLE NOGUEIRA,561.0,29.0,175.0
SAMMY JO  MAHLER,638.0,27.0,190.0
LINDSAY SCREWS,472.0,24.0,170.0
LEIGH  FOURNIER,528.0,28.0,170.0
AMANDA TUCKER,646.0,28.0,185.0
MADISON  HARRIS ,495.0,27.0,165.0
CARISSA ROMANO,563.0,28.0,175.0
CAROLINE STEPHENS,626.0,30.0,175.0
EURISLAINE  GOMES,684.0,28.0,185.0
LUCY BOLTON,475.0,24.0,165.0
JANINE HUNTER,507.0,26.0,170.0
DELANEY MARTIN,520.0,26.0,175.0
SARAH THOMPSON,566.0,26.0,180.0
SYDNEY JOHNSON,533.0,25.0,177.0
ERIN SWEENEY,513.0,26.0,167.0
ABIGAIL FERLMANN,575.0,26.0,177.0
CHLOE ITZSTEIN,474.0,21.0,157.0
REBECCA  HAMRICK,606.0,26.0,185.0
KELSEY PARKER,518.0,26.0,160.0
MEAGAN LACY,496.0,21.0,155.0
HANNAH THOM,674.0,27.0,175.0
KATY SLOYER,720.0,28.0,170.0
ELIZABETH JACKSON,562.0,26.0,165.0
ANNA MAGUIRE,579.0,23.0,175.0
CAITLIN JARRETT,633.0,27.0,165.5
CORIAN YANDEL,559.0,24.0,165.0
BETHANY SCAMARA,707.0,28.0,165.0
KELLY  HOWELL,515.0,18.0,155.0
GRACE REKOWSKI,667.0,25.0,175.0
BRIDGET NETHERTON,567.0,26.0,150.0
ALLISON ROBISON,560.0,23.0,155.0
ILENE KING,812.0,20.0,185.0
AMANDA PETROCCIONE,615.0,21.0,172.0
KASEY  CANNELLA ,720.0,26.0,170.0
MEGAN MCDERMOTT,586.0,25.0,155.0
JOVANNA SORIANO,593.0,22.0,170.0
HEATHER  BAIER,528.0,14.0,155.0
AMANDA HEYDE,612.0,20.0,173.0
SAMANTHA MAREK,706.0,24.0,175.0
МАРИЯ КУЛИКОВА ,532.0,17.0,154.0
SHAWN SZURLEY,597.0,23.0,165.0
BRYN WOOD,562.0,20.0,155.0
SOPHIE STRAITH,604.0,26.0,145.0
ANDREA NICHOLLS,692.0,23.0,170.0
ALLIE SIERADZKI,697.0,25.0,165.0
ANGIE MAYSE,648.0,23.0,165.0
SHELBY  WHITE,624.0,20.0,160.0
JENNIFER NACION,584.0,19.0,145.0
EMILY DELAY,604.0,21.0,150.0
KATRINA DEKREY,673.0,23.0,155.0
KATELYN MAZUERA,600.0,20.0,145.0
TANA GRENZ,720.0,17.0,170.0
CHLOE SCIOSCIA,692.0,24.0,150.0
NINA GRIFFIN,672.0,13.0,160.0
HANNAH DUNN,659.0,18.0,145.0
SABRINA  JOHNSON,791.0,18.0,155.0
SUZANNE NESTOR,0,23.0,160.0
HAYLEY HUNTER,414.0,0,0
ROSALIE BELANGER,585.0,0,0
JANE PAVALKIS,661.0,0,0
