Name,WOD 1,WOD 2,WOD 3
EDGAR FONSECA GONZALEZ,440.0,28.0,275.0
BEN MCDONALD,453.0,30.0,268.0
ALEC RODARTE,441.0,29.0,270.0
TIMOTHY NATIVIDAD,441.0,28.0,275.0
GREG FARRIS,386.0,31.0,248.0
JACK MAYO,463.0,33.0,257.0
RUBEN MAZZA,476.0,29.0,277.0
ABEL SANDOVAL,357.0,28.0,255.0
JEFFERY MOSS,320.0,29.0,250.0
DAVID SEGUN,429.0,26.0,280.0
ROBIN MORALES,405.0,31.0,252.0
TEDDY MCCLELLAND,516.0,31.0,280.0
JAKE HORTON,443.0,31.0,260.0
EDUARD TORRES,380.0,27.0,265.0
JÉRÔME  MONTAGNE,453.0,32.0,255.0
JONATHAN ARREDONDO TUEME,442.0,27.0,276.0
GUY LAPOINTE ,447.0,28.0,275.0
SEAN LEFLOCH,355.0,30.0,245.0
ANTHONY PIETSCH,449.0,27.0,277.0
TRENT MEEKS,403.0,25.0,277.0
RYAN DOLL,414.0,27.0,270.0
SHANE KAUFMAN,447.0,29.0,267.5
JUSTIN BOGEDIN,505.0,28.0,305.0
MAURICIO ALARCON,420.0,30.0,255.0
CECIL BRUSHWOOD,526.0,29.0,315.0
STEPHEN THOMPSON,461.0,30.0,266.0
KORY BURNETT,493.0,30.0,275.0
KENNETH WOODS,512.0,33.0,270.0
JOHN WIMMER,378.0,30.0,247.0
AFEEF HUSNI,508.0,28.0,302.0
BRENTLEY SCANNELL,423.0,29.0,262.0
JONATHAN BECK,476.0,30.0,270.0
ANDRES  MENDEZ,385.0,27.0,263.7
KARIM DIAZ DE LEÓN ,497.0,30.0,275.0
AUSTIN  SPRONG,377.0,30.0,245.0
GATLIN PRIMROSE,460.0,27.0,277.0
RANDY SANTANA,567.0,31.0,300.0
RYAN TANGUAY,362.0,27.0,255.0
NOBLE TUCKER,449.0,26.0,280.0
ROBERT NORTON,464.0,28.0,275.0
JOHNATHON  STEPHENS,443.0,26.0,277.0
MATT STERLEY,433.0,29.0,261.0
JARED MALAGON,491.0,29.0,275.0
NICO VIVARELLI,433.0,40.0,243.0
ROBERTO RIVERA NEGRON,389.0,30.0,245.0
SEAN FORD,417.0,27.0,265.0
TOM HUGHES,464.0,29.0,267.0
ADAM  CORRA,492.0,29.0,275.0
MATTHEW ROBBE,413.0,28.0,256.0
ROBERTO SANFILIPPO,375.0,26.0,260.0
MAX MCCLAIN,383.0,27.0,255.0
RENE SANTIAGO,436.0,27.0,267.0
MARK MCKEEVER,504.0,31.0,265.0
FELIX MEANA,560.0,30.0,295.0
MICHAEL SEGUIN,506.0,31.0,265.0
CAMERON BURKE,388.0,26.0,260.0
TREY ALLEN,438.0,29.0,255.0
GARRETT BRITTAIN,468.0,29.0,265.0
ALEJANDRO  CATANO,558.0,32.0,275.0
RAUL ECHAVARRIA,472.0,29.0,265.0
JOSHY  GOMEZ,509.0,29.0,275.0
ANDY SMITH,482.0,29.0,267.0
BRENDEN DEVRIES,510.0,29.0,275.0
SAM SINYARD,490.0,28.0,275.0
JON PAUL ANATRA JON PAUL ANATRA,515.0,35.0,255.0
CHRISTIAN GROCHOWSKI,480.0,31.0,255.0
GREGORY MOLLOY,377.0,28.0,245.0
MICHAEL AARON,446.0,31.0,247.0
MILES RESPESS,478.0,27.0,275.0
ADRIAN  LEYVA,466.0,25.0,285.0
HARRY JAGER,378.0,28.0,245.0
JERMAINE BURRUS,467.0,30.0,255.0
ZAK KATZ,496.0,27.0,277.0
MASON CARR,405.0,28.0,250.0
VICTOR ITURBIDES,492.0,26.0,285.0
SHAWN MARCIE ,422.0,29.0,250.0
ROBERTO CARRASQUERO,359.0,25.0,255.0
TYLER  SIMPER,524.0,28.0,285.0
MIKE RUTKOWSKI,387.0,25.0,260.0
LARRY KEATON II,558.0,31.0,275.0
ANDREW GOLDEN,492.0,31.0,255.0
RICHARD FIORUCCI,418.0,26.0,260.0
CARLOS VILLAFAÑE,362.0,29.0,240.0
STEVE MCDONALD,365.0,29.0,240.0
JOSE DANIEL MOYA CHAN,391.0,23.0,270.0
PAUL DILLAWAY,517.0,28.0,276.0
JAMES  CASHIN,418.0,26.0,257.0
MATTHEW LITTLE,517.0,30.0,267.0
DANIEL  MONTERO ,464.0,29.0,255.0
JOSHUA HONG,379.0,26.0,253.0
JOSH ALVAREZ,407.0,28.0,245.0
