Name,WOD 1,WOD 2,WOD 3,WOD 4,WOD 5
MEGAN KUNIS,434.0,33.0,200.0,125.0,165.0
MOLLY AKERS,441.0,30.0,200.0,158.0,156.0
THERESA  RANIERE ,434.0,36.0,186.0,133.0,162.0
EMILY KRAMER,437.0,30.0,197.0,134.0,188.0
KENDALL HUDSON,589.0,35.0,197.0,140.0,188.0
ELLIE DUFFY,514.0,40.0,175.0,170.0,150.0
NICOLE  PETTEL,490.0,30.0,193.0,148.0,215.0
AMANDA BACETTI,489.0,35.0,198.0,127.0,168.0
KITTI FAZEKAS,381.0,21.0,143.0,160.0,222.0
MELISSA GIAMBRONE,530.0,28.0,215.0,144.0,187.0
PAMELA ZAPATA,422.0,34.0,185.0,126.0,166.0
NADINE MCKANE,408.0,31.0,187.0,139.0,165.0
CHRISTINA MERLO,479.0,29.0,196.0,149.0,183.0
ANNIE MELEWSKI,454.0,31.0,202.0,142.0,159.0
MARA VAZQUEZ ,464.0,30.0,221.0,131.0,157.0
MAUDE RIOPEL,472.0,32.0,185.0,134.0,220.0
LEXI MACHUGA,427.0,31.0,180.0,150.0,164.0
KATIE  LINDSLEY,432.0,33.0,195.0,124.0,162.0
LEANNE WATSON,459.0,26.0,196.0,151.0,168.0
YUKO SAKUYAMA,494.0,30.0,187.0,136.0,260.0
ELENA CARRATALÁ SANAHUJA,464.0,24.0,191.8,152.0,211.0
LAUREN LAVALLEE,479.0,33.0,192.0,131.0,177.0
CHELSEA JUNG,506.0,31.0,185.0,134.0,250.0
LARA ERLANK,437.0,27.0,172.0,147.0,222.0
CECILIA RAMIREZ VILLAMIL ,434.0,30.0,210.0,113.0,165.0
HEATHER WILLIAMS ,440.0,31.0,197.0,125.0,166.0
SOPHIE  SIMON ,437.0,32.0,195.0,127.0,163.0
SARAH KESHISHIAN,470.0,32.0,180.0,166.0,156.0
STEPHANIE STEPP,382.0,30.0,185.0,128.0,165.0
SARAH  MCSPADDEN,520.0,33.0,205.0,124.0,165.0
TOYA  NELSON,455.0,25.0,201.0,130.0,205.0
CULLEY JO WILSON,504.0,27.0,225.0,148.0,127.0
PAULA ZIKOWSKY,491.0,32.0,187.0,138.0,180.0
PAMELA PETERLINI,575.0,35.0,214.0,118.0,159.0
KATIE CASEY,427.0,27.0,177.0,146.0,170.0
SAVANNAH GOSSELIN SAVANNAH GOSSELIN,683.0,35.0,215.0,122.0,156.0
FAITH  STEWART,439.0,26.0,177.0,142.0,197.0
HAYLEY BATTEN,491.0,33.0,200.0,128.0,150.0
MADELINE SIEFERT,596.0,31.0,222.0,125.0,160.0
CALLYE  WILLIAMS,411.0,24.0,185.0,144.0,166.0
TIANA FAHEY-LEIGH,499.0,31.0,192.0,130.0,175.0
MELISSA JUDNICH,476.0,31.0,195.0,126.0,167.0
JONNA TREXLER,549.0,31.0,175.0,142.0,222.0
HEATHER SMITH,468.0,26.0,169.0,134.0,274.0
MICHELLE WEIR,468.0,32.0,200.0,125.0,150.0
LAUREN SEFCIK,441.0,27.0,200.0,115.0,169.0
TANYA LABELL,432.0,31.0,175.0,129.0,166.0
NADIA  ZEBOUNI ,388.0,26.0,170.0,132.0,168.0
DANA  LOUCAS,483.0,31.0,190.0,128.0,169.0
KATIE PRICE,471.0,33.0,175.0,115.0,195.0
KRISTEN MUNOZ,448.0,30.0,190.0,130.0,165.0
ADDISON DAVIS,567.0,33.0,196.0,131.0,160.0
MICHELLE CAVALIERI,409.0,27.0,185.0,133.0,161.0
HANNAH PRUITT,450.0,31.0,178.0,133.0,164.0
GIAVANNA MARTIN,526.0,34.0,195.0,126.0,156.0
KATRINA OLSON,528.0,33.0,185.0,131.0,166.0
AMBER BOOTH,631.0,29.0,200.0,152.0,159.0
SARAH  ARNETT,517.0,31.0,196.0,132.0,158.0
HANNAH ULRICH,467.0,30.0,192.0,130.0,162.0
DANIELLA VERHOEST,552.0,30.0,196.0,118.0,200.0
KATIE SCHLUETER,450.0,28.0,185.0,112.0,215.0
KAITLYN FREY,448.0,23.0,200.0,121.0,168.0
ERICA  KELLY,438.0,26.0,170.0,120.0,230.0
ANNA WEIGAND,470.0,32.0,202.0,90.0,150.0
MEGHAN DEWEES-KERN,413.0,24.0,187.0,121.0,166.0
MARIANNE RIOUX,564.0,29.0,205.0,130.0,159.0
SHELBY  VANASEN,489.0,33.0,190.0,122.0,152.0
RACHEL FRICKER,508.0,32.0,175.0,132.0,164.0
AMELIA BUCKLEY,493.0,37.0,165.0,122.0,154.0
BRITTANY SMOLARSKI,585.0,28.0,215.0,125.0,153.0
RACHEL  SCHREIBER ,446.0,29.0,165.0,136.0,161.0
KAREN  GRACIA,555.0,30.0,195.0,120.0,170.0
SARAH LYKINS,532.0,28.0,185.0,132.0,178.0
KRYSTAL  COLE,550.0,31.0,196.0,115.0,164.0
MADELEINE MINETREE,561.0,29.0,210.0,93.0,165.0
JAYDE VILLARREAL,461.0,28.0,185.0,126.0,164.0
BRITTANI WILLIAMS,513.0,29.0,200.0,130.0,135.0
RACHEL KRUMM,518.0,27.0,190.0,121.0,189.0
ALYSSA SCHWINN,519.0,33.0,170.0,134.0,156.0
LEONIE SOLIA,479.0,28.0,198.0,120.0,153.0
MIKAIL JENKINS,462.0,27.0,165.0,114.0,215.0
SARAH THOMPSON,566.0,26.0,180.0,154.0,160.0
SIDNEY  WILSON,634.0,31.0,195.0,122.0,161.0
SHARON ARADINE,477.0,30.0,185.0,127.0,151.0
EMILY WHITE,577.0,31.0,190.0,130.0,150.0
EMILY CHAPMAN,507.0,30.0,185.0,125.0,156.0
SHANA MALDONADO,584.0,29.0,180.0,149.0,90.0
JENNA RIDDLE,467.0,26.0,195.0,115.0,153.0
CARISSA ROMANO,563.0,28.0,175.0,124.0,183.0
EMILY CARY,481.0,28.0,182.0,125.0,157.0
JANINE HUNTER,507.0,26.0,170.0,126.0,169.0
LUCY BOLTON,475.0,24.0,165.0,149.0,142.0
HILARY NIEWALD GERRISH,550.0,30.0,185.0,120.0,163.0
KATELYN BROCKMAN,479.0,26.0,192.0,104.0,160.0
CARRIE RICHARDS,475.0,28.0,175.0,115.0,163.0
MADISON  HARRIS ,495.0,27.0,165.0,120.0,175.0
MAKENNA ENSLIN ,513.0,27.0,195.0,111.0,159.0
RACHEL HOSTETLER,463.0,22.0,195.0,107.0,156.0
KASSANDRA HEIDEMANN,586.0,32.0,175.0,115.0,160.0
VANESSA TAYLOR,518.0,28.0,185.0,113.0,161.0
JOHANNA NILSSON,527.0,27.0,182.0,127.0,156.0
MELISSA CHATIGNY,598.0,27.0,190.0,103.0,167.0
KAITLAN WILDAY,648.0,31.0,190.0,114.0,153.0
KATRINA DEKREY,673.0,23.0,155.0,172.0,150.0
CORIAN YANDEL,559.0,24.0,165.0,117.0,195.0
SYDNEY JOHNSON,533.0,25.0,177.0,123.0,164.0
ANNA MAGUIRE,579.0,23.0,175.0,121.0,180.0
FRANCESCA DUNCAN,631.0,26.0,205.0,83.0,153.0
BECKY RINEHART,569.0,26.0,190.0,114.0,161.0
REBECCA  HAMRICK,606.0,26.0,185.0,125.0,157.0
CHLOE ITZSTEIN,474.0,21.0,157.0,125.0,154.0
DELANEY MARTIN,520.0,26.0,175.0,104.0,161.0
EURISLAINE  GOMES,684.0,28.0,185.0,117.0,152.0
ERIN SWEENEY,513.0,26.0,167.0,123.0,150.0
SAMMY JO  MAHLER,638.0,27.0,190.0,119.0,105.0
BRITTANY DUCHAUSSEE,621.0,27.0,195.0,89.0,124.0
CAROLINE STEPHENS,626.0,30.0,175.0,114.0,152.0
KELSEY PARKER,518.0,26.0,160.0,124.0,116.0
MEGAN MCDERMOTT,586.0,25.0,155.0,125.0,158.0
ELIZABETH JACKSON,562.0,26.0,165.0,116.0,156.0
AMANDA TUCKER,646.0,28.0,185.0,96.0,104.0
ABIGAIL FERLMANN,575.0,26.0,177.0,97.0,145.0
SAMANTHA MAREK,706.0,24.0,175.0,115.0,160.0
KATY SLOYER,720.0,28.0,170.0,120.0,117.0
CAITLIN JARRETT,633.0,27.0,165.5,120.0,130.0
KASEY  CANNELLA ,720.0,26.0,170.0,115.0,153.0
ALLISON ROBISON,560.0,23.0,155.0,112.0,154.0
JOVANNA SORIANO,593.0,22.0,170.0,103.0,158.0
SOPHIE STRAITH,604.0,26.0,145.0,122.0,150.0
BETHANY SCAMARA,707.0,28.0,165.0,114.0,120.0
AMANDA PETROCCIONE,615.0,21.0,172.0,108.0,154.0
МАРИЯ КУЛИКОВА ,532.0,17.0,154.0,90.0,158.0
AMANDA HEYDE,612.0,20.0,173.0,114.0,135.0
HEATHER  BAIER,528.0,14.0,155.0,104.0,151.0
ANDREA NICHOLLS,692.0,23.0,170.0,114.0,150.0
NINA GRIFFIN,672.0,13.0,160.0,127.0,105.0
GRACE REKOWSKI,667.0,25.0,175.0,96.0,115.0
JENNIFER NACION,584.0,19.0,145.0,94.0,158.0
BRYN WOOD,562.0,20.0,155.0,107.0,139.0
ANGIE MAYSE,648.0,23.0,165.0,89.0,151.0
ILENE KING,812.0,20.0,185.0,88.0,111.0
ALLIE SIERADZKI,697.0,25.0,165.0,103.0,110.0
SHELBY  WHITE,624.0,20.0,160.0,65.0,128.0
CHLOE SCIOSCIA,692.0,24.0,150.0,108.0,90.0
TANA GRENZ,720.0,17.0,170.0,96.0,110.0
HANNAH DUNN,659.0,18.0,145.0,106.0,111.0
SABRINA  JOHNSON,791.0,18.0,155.0,84.0,106.0
MICHELLE KWAK,329.0,38.0,242.0,0,244.0
KARLA SCHULDES,490.0,30.0,200.0,0,155.0
LAUREN METCALFE,543.0,33.0,195.0,180.0,0
CHELSEA  GÓMEZ,550.0,27.0,192.0,0,159.0
DANIELLE NOGUEIRA,561.0,29.0,175.0,107.0,0
EMILY DELAY,604.0,21.0,150.0,88.0,0
RACHEL GARIBAY,357.0,36.0,240.0,0,0
MARILYN HOPKINS,369.0,36.0,207.0,0,0
KELLEY JACKSON,325.0,36.0,195.0,0,0
MEGAN TRUPP,380.0,34.0,202.0,0,0
LAUREN SUEVER,472.0,34.0,247.0,0,0
VAL VOBORIL,374.0,33.0,195.0,0,0
MARIE ROBIN,456.0,32.0,220.46,0,0
KATRINA RASMUSSEN,466.0,34.0,210.0,0,0
BRYNN KURLAN,431.0,33.0,202.0,0,0
FAITH COOKE,484.0,32.0,230.0,0,0
EMILY NUSSBAUM,565.0,35.0,220.0,0,0
TIA WRIGHT,454.0,32.0,210.0,0,0
STEPHANIE ROSS,389.0,31.0,195.0,0,0
DANIELLE LLOPIZ,425.0,31.0,200.0,0,0
GRETCHEN SCHNAUTZ,452.0,34.0,195.0,0,0
BRITTANY  MACK,491.0,34.0,195.0,0,0
JACKIE RUBEY,381.0,30.0,180.0,0,0
CAROL COLLING,513.0,31.0,205.0,0,0
ABIGAIL KRUEGER,461.0,33.0,185.0,0,0
JENNA FISHER,476.0,32.0,195.0,0,0
JULI FAREWELL,407.0,31.0,175.0,0,0
NATALIE ALLPORT,450.0,30.0,195.0,0,0
CAYLA HANEY,672.0,28.0,235.0,0,0
TINA CARSON,560.0,27.0,220.0,0,0
DANA PARAN,709.0,32.0,207.0,0,0
ALEXIS KING,580.0,32.0,200.0,0,0
SHALYNN LORING,453.0,32.0,180.0,0,0
DESIREE STOLTE,469.0,31.0,185.0,0,0
HANNAH HEIL,475.0,30.0,190.0,0,0
BRITTANY HOFFMAN,521.0,27.0,202.0,0,0
ANNEKE SPIES,502.0,26.0,198.0,0,0
MARINA TUONO,582.0,27.0,205.0,0,0
JILLIAN CRESPI,442.0,29.0,170.0,0,0
JORDONNA BERGERON,525.0,30.0,192.0,0,0
LAINA  LIRA,553.0,30.0,195.0,0,0
ZOE JONES,468.0,29.0,175.0,0,0
MARIANA MEZA,550.0,30.0,190.0,0,0
AMY HAGLER,520.0,27.0,195.0,0,0
KATHS BOGANTES,432.0,27.0,157.0,0,0
SARAH HARVEY,501.0,26.0,190.0,0,0
AURORE BOITELLE,517.0,30.0,176.0,0,0
AMANDA DUCKETT,492.0,27.0,175.0,0,0
LINDSAY SCREWS,472.0,24.0,170.0,0,0
LEIGH  FOURNIER,528.0,28.0,170.0,0,0
MEAGAN LACY,496.0,21.0,155.0,0,0
HANNAH THOM,674.0,27.0,175.0,0,0
KELLY  HOWELL,515.0,18.0,155.0,0,0
BRIDGET NETHERTON,567.0,26.0,150.0,0,0
SHAWN SZURLEY,597.0,23.0,165.0,0,0
KATELYN MAZUERA,600.0,20.0,145.0,0,0
SUZANNE NESTOR,0,23.0,160.0,0,0
HAYLEY HUNTER,414.0,0,0,0,0
ROSALIE BELANGER,585.0,0,0,0,0
JANE PAVALKIS,661.0,0,0,0,0
ALANNA FISK,0,0,0,0,0
ALISHA THRESHER,0,0,0,0,0
AMANDA HERNANDEZ ,0,0,0,0,0
AMY  ALDRICH-WITT,0,0,0,0,0
ANNA MARIE WRIGHT,0,0,0,0,0
ANNEKE BOGARDUS-TUCKER,0,0,0,0,0
ANNIE  JOCKISCH,0,0,0,0,0
ANTEA LONGO,0,0,0,0,0
ANTOINETTE  DODY,0,0,0,0,0
APRIL PAYNE,0,0,0,0,0
ARIANA DIDOMENICO,0,0,0,0,0
BAYLEE VOZZA,0,0,0,0,0
BETH WILSON,0,0,0,0,0
BETHANY STIEFEL,0,0,0,0,0
CAROLYNE  PREVOST,0,0,0,0,0
CIERRA SLAVKOVKSY,0,0,0,0,0
